time,day,N,S,E,W
6,0,10,7,15,10
18,1,23,29,30,29
14,0,11,11,6,14
21,1,9,5,8,5
9,0,35,33,31,32
5,0,12,11,15,14
19,1,21,30,30,29
8,1,28,27,30,26
13,1,5,5,10,5
10,1,6,5,9,8
12,0,13,12,5,11
23,0,6,13,10,10
21,1,5,7,6,5
12,0,9,6,7,13
10,1,8,5,5,6
13,0,8,7,8,13
3,1,5,9,5,5
4,1,5,5,5,5
11,1,6,5,8,8
1,1,7,6,10,5
2,1,5,5,6,8
7,0,28,25,28,25
19,1,25,28,22,26
15,0,5,13,10,9
18,1,20,20,25,21
2,1,5,8,7,7
14,0,11,13,12,7
14,1,5,5,5,5
16,1,9,10,5,10
10,0,5,12,13,12
0,1,5,8,8,7
2,0,5,10,11,10
18,1,29,27,21,20
2,0,8,14,14,13
23,1,5,10,5,5
11,0,5,5,10,11
9,0,33,31,33,30
7,0,30,27,25,35
13,0,7,7,9,11
18,0,32,33,27,29
6,0,7,15,8,14
13,1,8,5,7,5
8,1,21,24,28,22
8,0,26,33,33,35
20,0,15,14,11,12
19,0,32,31,26,33
6,0,14,9,12,7
12,1,9,5,7,9
1,0,6,7,6,15
14,1,5,7,5,7
1,1,5,10,5,8
13,0,9,10,10,13
2,0,14,15,7,5
14,1,6,8,8,8
13,1,5,6,5,5
7,1,26,26,27,21
10,1,5,5,5,10
13,0,6,13,14,15
18,0,29,32,25,27
20,0,5,5,5,10
5,1,10,5,5,5
11,1,5,5,5,10
20,0,8,12,7,5
23,0,14,12,6,13
11,0,13,14,6,15
18,0,27,27,31,27
3,0,8,13,11,11
16,0,9,5,5,13
13,1,9,10,5,5
17,0,29,29,31,32
15,0,6,12,11,8
16,0,5,5,14,6
9,1,26,29,24,21
1,1,7,5,9,5
11,0,12,8,10,12
17,1,28,27,20,27
23,0,10,14,14,14
15,1,8,5,5,9
18,1,21,27,21,26
18,1,28,25,24,30
14,0,8,11,13,7
6,0,8,15,9,7
13,0,9,15,13,5
1,0,14,9,10,13
22,1,7,10,5,5
3,0,12,10,6,6
11,1,5,9,8,9
12,0,5,12,15,15
20,0,12,11,6,15
22,1,5,9,6,5
16,0,11,6,12,10
21,0,13,8,10,15
19,0,30,28,25,34
9,1,30,26,24,20
20,1,5,5,5,5
6,1,5,7,5,5
15,0,10,7,9,10
13,0,10,13,8,7
18,1,20,21,27,20
8,0,25,33,27,28
18,0,32,26,26,31
22,0,14,15,5,8
11,1,8,5,5,5
14,1,5,5,8,5
18,1,21,25,25,21
4,0,15,5,5,9
11,1,5,6,5,9
10,1,5,5,7,10
18,1,20,30,29,28
11,0,8,14,8,13
